,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
5,2017-06-01,29132.7,26365.4,29132712.7446,28763865.4186,368847.326,29132712.7446,10565493.495652994,7337456.597347399,9196110.462846007,2033652.1887504,29132712.7446,19601615.797832,3103589.5987800006,7911936.244780002,1083494.19323,3322049.563759999,2883228.762352,952203.315,345114.1199299999,4277889.538619999,1001572.00219,1893542.06218,2358093.34478
60,2022-01-01,154517.1,25463.4,154517094.1819681,149697614.62836808,4819479.553599999,154517094.1819681,46962602.2164548,46053650.12931095,54048333.11802423,7452508.718179998,154517094.1819681,103783610.342116,20364496.479049,37505172.62385601,4860317.679927002,16104766.205035,17408486.728430998,6138441.197065001,1401929.4287529995,21330213.293162003,3782646.219391001,12187552.347016,13433071.980283003
61,2022-02-01,152202.6,23802.1,152202573.39011797,148406529.31365797,3796044.07646,152202573.39011797,46290956.20918649,45283575.24733588,53705893.17447563,6922148.759119999,152202573.39011797,105530494.041341,20067560.910709,38209790.618461005,5045920.420571,16139816.504112002,18260738.307157,6436027.691499,1370639.5888319996,20305446.86275399,3875499.176168,9189746.139228,13301387.170626
62,2022-03-01,168982.5,24612.4,168982502.27879015,164321107.28065014,4661394.998140001,168982502.27879015,51262080.993980005,47364363.87904,62416016.53691001,7940040.868859998,168982502.27879015,118823011.688603,19759206.70563,45418860.16169,5922819.508782999,18419163.95965,20827602.019110005,6886240.028900002,1589119.30484,22942013.091680005,3912852.4257200006,10898787.98983,12405837.082960002
63,2022-04-01,177148.1,24140.5,177148082.8202,173003799.07694,4144283.743260001,177148082.8202,53189998.67572,50063972.79192998,65357591.09137,8536520.261189999,177148082.8202,127796957.026236,20641687.399903007,49991675.91444399,6746166.557106999,19309461.586726,22877841.239947,6510665.780792001,1719458.547317,23131265.845283996,4228053.873539001,10081330.452604,11910475.622541996
64,2022-05-01,179639.2,23234.2,179639238.64318994,175358487.53030995,4280751.112880001,179639238.64318994,52738110.61500003,49886787.85874002,68070088.22774003,8944251.94171,179639238.64318994,126457871.761048,18583941.030642,50150351.46048001,6667329.664570002,20121124.431525,22841532.846609,6314109.470376001,1779482.856846,23578638.709904,5213152.564451,12039595.551802,12349980.055988
